isoform	tau	group
ENSRNOT00000042444	0	1221
ENSRNOT00000002781	0	1229
ENSRNOT00000013285	0	1233
ENSRNOT00000013278	0	1236
ENSRNOT00000062007	0	1236
ENSRNOT00000046557	0	1238
ENSRNOT00000038380	0	1240
ENSRNOT00000042734	0	1241
ENSRNOT00000046200	0	1242
ENSRNOT00000057690	0	1243
ENSRNOT00000018795	0	1249
ENSRNOT00000018860	0	1250
ENSRNOT00000030609	0	1253
ENSRNOT00000039453	0	1254
ENSRNOT00000035424	0	1255
ENSRNOT00000057661	0	1257
ENSRNOT00000057650	0	1258
ENSRNOT00000057644	0	1260
ENSRNOT00000057643	0	1261
ENSRNOT00000057634	0	1263
ENSRNOT00000018776	0	1267
ENSRNOT00000038190	0	1271
ENSRNOT00000035404	0	1272
ENSRNOT00000036958	0	1273
ENSRNOT00000047451	0	1273
ENSRNOT00000057629	0	1276
ENSRNOT00000057628	0	1277
ENSRNOT00000057625	0	1280
ENSRNOT00000057621	0	1284
ENSRNOT00000002724	0	1285
ENSRNOT00000018912	0	1291
ENSRNOT00000037017	0	1291
ENSRNOT00000036186	0	1293
ENSRNOT00000034485	0	1294
ENSRNOT00000064466	0	1294
ENSRNOT00000065438	0	1294
ENSRNOT00000057064	0	1294
ENSRNOT00000030426	0	1297
ENSRNOT00000034419	0	1298
ENSRNOT00000030984	0	1299
ENSRNOT00000057616	0	1303
ENSRNOT00000057613	0	1304
ENSRNOT00000002718	0	1305
ENSRNOT00000002717	0	1308
ENSRNOT00000057602	0	1311
ENSRNOT00000057599	0	1312
ENSRNOT00000002712	0	1313
ENSRNOT00000018756	0	1314
ENSRNOT00000018741	0	1315
ENSRNOT00000018761	0	1319
ENSRNOT00000034731	0	1325
ENSRNOT00000034724	0	1325
ENSRNOT00000002705	0	1328
ENSRNOT00000002704	0	1330
ENSRNOT00000041514	0	1330
ENSRNOT00000046357	0	1341
ENSRNOT00000002699	0	1343
ENSRNOT00000060179	0	1348
ENSRNOT00000058029	0	1349
ENSRNOT00000018685	0	1351
ENSRNOT00000018755	0	1355
ENSRNOT00000034363	0	1359
ENSRNOT00000002680	0	1362
ENSRNOT00000002676	0	1364
ENSRNOT00000002671	0	1366
ENSRNOT00000002670	0	1367
ENSRNOT00000018868	0	1370
ENSRNOT00000018990	0	1370
ENSRNOT00000051374	0	1370
ENSRNOT00000002669	0	1373
ENSRNOT00000002668	0	1374
ENSRNOT00000002667	0	1376
ENSRNOT00000031642	0	1378
ENSRNOT00000018637	0	1381
ENSRNOT00000020713	0	1389
ENSRNOT00000064516	0	1390
ENSRNOT00000018629	0	1390
ENSRNOT00000002634	0	1397
ENSRNOT00000051213	0	1400
ENSRNOT00000002621	0	1402
ENSRNOT00000025496	0	1406
ENSRNOT00000067734	0	1406
ENSRNOT00000025460	0	1407
ENSRNOT00000055881	0	1407
ENSRNOT00000025434	0	1411
ENSRNOT00000025383	0	1417
ENSRNOT00000025408	0	1423
ENSRNOT00000025420	0	1423
ENSRNOT00000001750	0	1446
ENSRNOT00000008564	0	1449
ENSRNOT00000038926	0	1449
ENSRNOT00000008863	0	1451
ENSRNOT00000025490	0	1452
ENSRNOT00000039951	0	1461
ENSRNOT00000008921	0	1463
ENSRNOT00000008864	0	1464
ENSRNOT00000025346	0	1466
ENSRNOT00000056108	0	1470
ENSRNOT00000025055	0	1471
ENSRNOT00000065822	0	1473
ENSRNOT00000008848	0	1477
ENSRNOT00000068677	0	1480
ENSRNOT00000025488	0	1481
ENSRNOT00000025589	0	1484
ENSRNOT00000064778	0	1486
ENSRNOT00000008933	0	1489
ENSRNOT00000025270	0	1497
ENSRNOT00000008805	0	1500
ENSRNOT00000067541	0	1514
ENSRNOT00000008798	0	1515
ENSRNOT00000025236	0	1524
ENSRNOT00000067926	0	1525
ENSRNOT00000041868	0	1525
ENSRNOT00000025279	0	1525
ENSRNOT00000064831	0	1525
ENSRNOT00000009095	0	1528
ENSRNOT00000058537	0	1530
ENSRNOT00000058536	0	1530
ENSRNOT00000058535	0	1530
ENSRNOT00000037313	0	1532
ENSRNOT00000008742	0	1532
ENSRNOT00000008762	0	1535
ENSRNOT00000057387	0	1539
ENSRNOT00000009467	0	1540
ENSRNOT00000008750	0	1542
ENSRNOT00000034210	0	1548
ENSRNOT00000057591	0	1550
ENSRNOT00000057584	0	1551
ENSRNOT00000057579	0	1553
ENSRNOT00000057576	0	1555
ENSRNOT00000057567	0	1557
ENSRNOT00000057564	0	1558
ENSRNOT00000057552	0	1561
ENSRNOT00000057543	0	1565
ENSRNOT00000057542	0	1565
ENSRNOT00000057536	0	1568
ENSRNOT00000010990	0	1570
ENSRNOT00000033751	0	1571
ENSRNOT00000049917	0	1573
ENSRNOT00000045104	0	1573
ENSRNOT00000045085	0	1573
ENSRNOT00000050916	0	1573
ENSRNOT00000049878	0	1573
ENSRNOT00000051726	0	1573
ENSRNOT00000037286	0	1573
ENSRNOT00000057535	0	1577
ENSRNOT00000057534	0	1578
ENSRNOT00000057530	0	1580
ENSRNOT00000057516	0	1583
ENSRNOT00000057515	0	1584
ENSRNOT00000057514	0	1585
ENSRNOT00000035916	0	1586
ENSRNOT00000041548	0	1591
ENSRNOT00000039904	0	1591
ENSRNOT00000036642	0	1591
ENSRNOT00000036672	0	1591
ENSRNOT00000057511	0	1592
ENSRNOT00000057508	0	1595
ENSRNOT00000057503	0	1598
ENSRNOT00000050444	0	1608
ENSRNOT00000018804	0	1608
ENSRNOT00000066886	0	1608
ENSRNOT00000018573	0	1610
ENSRNOT00000018858	0	1612
ENSRNOT00000032992	0	1613
ENSRNOT00000035577	0	1616
ENSRNOT00000049915	0	1616
ENSRNOT00000057483	0	1620
ENSRNOT00000057479	0	1622
ENSRNOT00000057478	0	1623
ENSRNOT00000057477	0	1624
ENSRNOT00000057474	0	1625
ENSRNOT00000018584	0	1628
ENSRNOT00000067886	0	1630
ENSRNOT00000018738	0	1631
ENSRNOT00000035910	0	1633
ENSRNOT00000057464	0	1636
ENSRNOT00000067322	0	1636
ENSRNOT00000057460	0	1637
ENSRNOT00000057456	0	1638
ENSRNOT00000057452	0	1639
ENSRNOT00000049815	0	1641
ENSRNOT00000018639	0	1644
ENSRNOT00000065898	0	1650
ENSRNOT00000023181	0	1650
ENSRNOT00000057440	0	1654
ENSRNOT00000002597	0	1660
ENSRNOT00000018564	0	1664
ENSRNOT00000018577	0	1665
ENSRNOT00000035870	0	1674
ENSRNOT00000044035	0	1677
ENSRNOT00000018581	0	1682
ENSRNOT00000035846	0	1688
ENSRNOT00000002567	0	1691
ENSRNOT00000002557	0	1695
ENSRNOT00000068286	0	1695
ENSRNOT00000033178	0	1697
ENSRNOT00000068173	0	1700
ENSRNOT00000035798	0	1704
ENSRNOT00000030858	0	1707
ENSRNOT00000018674	0	1721
ENSRNOT00000018537	0	1725
ENSRNOT00000035806	0	1728
ENSRNOT00000035812	0	1731
ENSRNOT00000034413	0	1733
ENSRNOT00000019307	0	1740
ENSRNOT00000067275	0	1740
ENSRNOT00000065356	0	1740
ENSRNOT00000049340	0	1745
ENSRNOT00000018481	0	1755
ENSRNOT00000019087	0	1756
ENSRNOT00000002519	0	1763
ENSRNOT00000055473	0	1766
ENSRNOT00000018526	0	1769
ENSRNOT00000029592	0	1769
ENSRNOT00000002507	0	1777
ENSRNOT00000002512	0	1777
ENSRNOT00000047678	0	1777
ENSRNOT00000002498	0	1778
ENSRNOT00000002468	0	1788
ENSRNOT00000047595	0	1788
ENSRNOT00000067957	0	1788
ENSRNOT00000046199	0	1791
ENSRNOT00000048739	0	1791
ENSRNOT00000044130	0	1795
ENSRNOT00000042702	0	1796
ENSRNOT00000044969	0	1798
ENSRNOT00000051768	0	1799
ENSRNOT00000046019	0	1800
ENSRNOT00000024170	0	1801
ENSRNOT00000068781	0	1801
ENSRNOT00000040802	0	1802
ENSRNOT00000051398	0	1804
ENSRNOT00000045006	0	1805
ENSRNOT00000051782	0	1806
ENSRNOT00000025274	0	1808
ENSRNOT00000025257	0	1811
ENSRNOT00000025254	0	1812
ENSRNOT00000056776	0	1812
ENSRNOT00000025223	0	1813
ENSRNOT00000025355	0	1815
ENSRNOT00000051366	0	1816
ENSRNOT00000048104	0	1818
ENSRNOT00000045608	0	1819
ENSRNOT00000043338	0	1820
ENSRNOT00000025224	0	1826
ENSRNOT00000028498	0	1828
ENSRNOT00000022114	0	1842
ENSRNOT00000052192	0	1843
ENSRNOT00000041616	0	1844
ENSRNOT00000025249	0	1845
ENSRNOT00000064823	0	1845
ENSRNOT00000050151	0	1848
ENSRNOT00000046849	0	1848
ENSRNOT00000045165	0	1848
ENSRNOT00000041839	0	1848
ENSRNOT00000025536	0	1848
ENSRNOT00000046080	0	1848
ENSRNOT00000047776	0	1848
ENSRNOT00000025276	0	1848
ENSRNOT00000028479	0	1854
ENSRNOT00000015870	0	1856
ENSRNOT00000044696	0	1857
ENSRNOT00000051850	0	1858
ENSRNOT00000046987	0	1862
ENSRNOT00000025299	0	1871
ENSRNOT00000025177	0	1874
ENSRNOT00000040631	0	1887
ENSRNOT00000042613	0	1888
ENSRNOT00000035804	0	1891
ENSRNOT00000049630	0	1906
ENSRNOT00000008840	0	1908
ENSRNOT00000028458	0	1922
ENSRNOT00000051515	0	1929
ENSRNOT00000043766	0	1930
ENSRNOT00000008715	0	1931
ENSRNOT00000046038	0	1934
ENSRNOT00000032798	0	1935
ENSRNOT00000036445	0	1937
ENSRNOT00000025261	0	1943
ENSRNOT00000039888	0	1958
ENSRNOT00000008690	0	1964
ENSRNOT00000047654	0	1965
ENSRNOT00000025141	0	1970
ENSRNOT00000028418	0	1972
ENSRNOT00000028410	0	1980
ENSRNOT00000045652	0	1982
ENSRNOT00000042349	0	1985
ENSRNOT00000050154	0	1986
ENSRNOT00000043141	0	1988
ENSRNOT00000040306	0	1991
ENSRNOT00000027865	0	1991
ENSRNOT00000045525	0	1992
ENSRNOT00000061201	0	1996
ENSRNOT00000061503	0	2000
ENSRNOT00000040413	0	2000
ENSRNOT00000025286	0	2000
ENSRNOT00000025109	0	2001
ENSRNOT00000028237	0	2003
ENSRNOT00000025220	0	2004
ENSRNOT00000065126	0	2010
ENSRNOT00000009668	0	2010
ENSRNOT00000008676	0	2011
ENSRNOT00000008671	0	2014
ENSRNOT00000025173	0	2017
ENSRNOT00000025097	0	2019
ENSRNOT00000025102	0	2024
ENSRNOT00000008839	0	2029
ENSRNOT00000008688	0	2045
ENSRNOT00000067874	0	2045
ENSRNOT00000057378	0	2054
ENSRNOT00000031326	0	2055
ENSRNOT00000057374	0	2056
ENSRNOT00000057373	0	2057
ENSRNOT00000057368	0	2060
ENSRNOT00000057358	0	2062
ENSRNOT00000044531	0	2063
ENSRNOT00000057354	0	2066
ENSRNOT00000004344	0	2071
ENSRNOT00000030657	0	2074
ENSRNOT00000033201	0	2075
ENSRNOT00000033434	0	2082
ENSRNOT00000057322	0	2083
ENSRNOT00000061435	0	2085
ENSRNOT00000022328	0	2086
ENSRNOT00000057319	0	2090
ENSRNOT00000057318	0	2090
ENSRNOT00000057311	0	2093
ENSRNOT00000057308	0	2094
ENSRNOT00000007513	0	2096
ENSRNOT00000032860	0	2098
ENSRNOT00000030050	0	2099
ENSRNOT00000057298	0	2101
ENSRNOT00000018456	0	2103
ENSRNOT00000018503	0	2107
ENSRNOT00000032076	0	2111
ENSRNOT00000050903	0	2114
ENSRNOT00000057274	0	2115
ENSRNOT00000023302	0	2122
ENSRNOT00000032771	0	2123
ENSRNOT00000035721	0	2124
ENSRNOT00000057249	0	2129
ENSRNOT00000018512	0	2133
ENSRNOT00000018420	0	2135
ENSRNOT00000018392	0	2136
ENSRNOT00000018592	0	2140
ENSRNOT00000041490	0	2141
ENSRNOT00000036537	0	2142
ENSRNOT00000057239	0	2145
ENSRNOT00000005066	0	2146
ENSRNOT00000057236	0	2148
ENSRNOT00000057224	0	2153
ENSRNOT00000057223	0	2155
ENSRNOT00000057217	0	2157
ENSRNOT00000018427	0	2159
ENSRNOT00000018386	0	2164
ENSRNOT00000035183	0	2165
ENSRNOT00000039743	0	2166
ENSRNOT00000009090	0	2167
ENSRNOT00000049332	0	2174
ENSRNOT00000018375	0	2180
ENSRNOT00000018566	0	2182
ENSRNOT00000009916	0	2187
ENSRNOT00000068049	0	2188
ENSRNOT00000065987	0	2188
ENSRNOT00000035678	0	2188
ENSRNOT00000036382	0	2190
ENSRNOT00000029651	0	2191
ENSRNOT00000018362	0	2205
ENSRNOT00000036335	0	2208
ENSRNOT00000049452	0	2210
ENSRNOT00000018361	0	2217
ENSRNOT00000018545	0	2220
ENSRNOT00000067657	0	2221
ENSRNOT00000018869	0	2221
ENSRNOT00000018337	0	2237
ENSRNOT00000002383	0	2240
ENSRNOT00000018350	0	2250
ENSRNOT00000036482	0	2252
ENSRNOT00000002360	0	2257
